feature,coefficient,abs_coefficient
roll_mean_3,0.4890763501470493,0.4890763501470493
roll_mean_12,0.40857423879131216,0.40857423879131216
pct_change_1,0.20237029055050354,0.20237029055050354
lag_1,0.16661622019890845,0.16661622019890845
lag_3,-0.1568637082494973,0.1568637082494973
roll_std_12,-0.08614962394502221,0.08614962394502221
roll_std_3,-0.06635061846002957,0.06635061846002957
lag_6,0.040510723550158625,0.040510723550158625
month_cos,-0.03879936467637872,0.03879936467637872
roll_mean_6,0.03056491314284311,0.03056491314284311
roll_std_6,-0.025741777465346737,0.025741777465346737
month_sin,-0.007399677905826514,0.007399677905826514
month,-0.0032511876161406025,0.0032511876161406025
day_of_week,0.0019159710503730393,0.0019159710503730393
